X,Y,Z,H,S,L,R,G,B
-0.7595962,0.0862745,-0.6446474,0.1379991,1,0.5431373,1,0.8431373,0.08627445
-0.6558113,-0.06274509,-0.7411976,0.1152844,0.9916319,0.4686275,0.9333334,0.647059,0.003921538
-0.629513,-0.09803921,-0.7483001,0.1113124,0.9826087,0.4509804,0.8941177,0.6000002,0.007843146
-0.760805,0.04705882,-0.6472722,0.1378049,1,0.5235294,1,0.8352939,0.04705882
-0.6482729,-0.1254902,-0.7392015,0.1145846,0.9910314,0.4372549,0.8705882,0.6,0.003921561
-0.5953322,-0.1647059,-0.7274931,0.1091517,0.9530516,0.4176471,0.8156862,0.5411765,0.01960788
-0.5935718,-0.1960784,-0.7441529,0.1071598,0.9707317,0.4019608,0.7921569,0.5137256,0.01176469
-0.589568,-0.1529412,-0.7353128,0.1075621,0.9537036,0.4235294,0.827451,0.5411764,0.01960787
-0.5867946,-0.08235294,-0.6973987,0.1113262,0.9145299,0.4588235,0.8784314,0.6,0.03921568
-0.6220348,-0.1176471,-0.7513188,0.1100616,0.9822222,0.4411765,0.8745098,0.5803924,0.007843147
-0.5855429,-0.2117647,-0.7457359,0.1059405,0.9701492,0.3941177,0.7764706,0.4980391,0.01176472
-0.5705194,-0.2784314,-0.7596307,0.1025231,0.9891304,0.3607843,0.7176471,0.4431374,0.003921568
-0.6890516,-0.0862745,-0.7195585,0.1215536,1,0.4568627,0.9137255,0.6666666,0
-0.6447644,-0.1254902,-0.7422637,0.1138308,0.9910314,0.4372549,0.8705882,0.5960785,0.003921561
-0.6504481,-0.1098039,-0.7399516,0.1147689,0.9911894,0.445098,0.8862745,0.6117648,0.003921572
-0.6678449,-0.05098039,-0.7201978,0.119,0.9834711,0.4745098,0.9411765,0.6745098,0.007843127
-0.6108953,-0.1098039,-0.7617345,0.1075803,0.9823788,0.445098,0.8823529,0.572549,0.007843143
-0.5442895,-0.6392157,-0.2938917,0.1712027,0.8043478,0.1803921,0.3176471,0.3254902,0.03529412
-0.4669368,-0.7490196,-0.3073739,0.1573444,0.8437501,0.1254902,0.2313726,0.2196078,0.01960783
-0.3338782,-0.4078431,-0.2294665,0.1541672,0.4437086,0.2960784,0.427451,0.4078432,0.1647059
-0.1803254,-0.1294117,-0.2101747,0.112858,0.2792793,0.4352942,0.5568628,0.4784313,0.3137255
-0.4779023,-0.3372549,-0.443153,0.1310017,0.6923077,0.3313726,0.5607843,0.4627451,0.1019608
-0.1314691,-0.4745098,-0.06001273,0.1818455,0.1641791,0.2627451,0.2980392,0.3058824,0.2196078
-0.2819579,0.1490196,-0.3040608,0.119,0.4193549,0.5745098,0.7529412,0.6509804,0.3960784
-0.5371783,-0.6313726,-0.290052,0.1712027,0.787234,0.1843137,0.3215686,0.3294117,0.03921569
-0.437879,-0.3607843,-0.2599718,0.1647281,0.5460123,0.3196079,0.4941177,0.4901961,0.145098
-0.5290561,-0.5764706,-0.3240388,0.1625366,0.7592592,0.2117647,0.372549,0.3647058,0.0509804
-0.6992458,-0.4941176,-0.4936068,0.1521701,0.9844961,0.2529412,0.5019608,0.4588235,0.003921571
-0.3556002,-0.2235294,-0.6471425,0.07996801,0.7575758,0.3882353,0.682353,0.3764706,0.09411765
-0.2365475,-0.227451,-0.5493506,0.0647124,0.6142132,0.3862745,0.6235294,0.3333333,0.1490196
0.0298218,0.3607843,-0.1864487,0.9747575,0.202454,0.6803921,0.7450981,0.6156862,0.6352941
0.02874262,0.3294117,-0.1575244,0.9712758,0.1695906,0.6647059,0.7215686,0.6078431,0.627451
0.07522721,0.3921568,0.09936726,0.6031333,0.1354839,0.6960784,0.6549019,0.6862745,0.7372549
0.1101338,0.517647,0.1690081,0.5919172,0.2357724,0.7588235,0.7019607,0.7529412,0.8156863
0.0653401,0.3843138,0.1316877,0.573304,0.1592357,0.6921569,0.6431373,0.6980392,0.7411765
0.08261659,0.5647058,0.1665071,0.573304,0.2252252,0.7823529,0.7333333,0.7882352,0.8313726
0.07047552,0.5215687,0.1367673,0.5757273,0.1803279,0.7607843,0.7176471,0.7647059,0.8039216
0.08970509,0.5686275,0.155449,0.5833,0.2181818,0.7843137,0.7372549,0.7843137,0.8313726
0.08167673,0.5568628,0.1646129,0.573304,0.2212389,0.7784314,0.7294118,0.7843137,0.827451
0.07262582,0.4705882,0.1463715,0.573304,0.1851852,0.7352941,0.6862745,0.7411764,0.7843137
0.08978114,0.3529413,0.1377755,0.5919172,0.1757576,0.6764706,0.6196079,0.6705883,0.7333333
0.08450477,0.427451,0.01933554,0.7142,0.09589041,0.7137255,0.7019608,0.6862745,0.7411765
-0.06475444,0.3490196,-0.424126,0.02411315,0.4578313,0.6745098,0.8235294,0.5686275,0.5254902
-0.4244836,-0.2901961,-0.6636342,0.09056778,0.8232044,0.354902,0.6470588,0.3803921,0.06274511
-0.5291908,-0.4588235,-0.6485038,0.1089307,0.9420289,0.2705882,0.5254902,0.3490195,0.01568629
-0.7064172,-0.5098039,-0.4664558,0.1571187,0.984,0.2450981,0.4862745,0.4588236,0.003921562
-0.1973691,-0.2470588,-0.2161707,0.117769,0.3020833,0.3764706,0.4901961,0.4235294,0.2627451
-0.1207135,-0.04313719,-0.08459363,0.1527167,0.147541,0.4784314,0.5490196,0.5372549,0.4078431
-0.005652739,0.3176471,0.02105221,0.45825,0.02298851,0.6588235,0.6509804,0.6666667,0.6627451
0.07835773,0.4980392,0.09343611,0.6110666,0.140625,0.7490196,0.7137255,0.7372549,0.7843137
0.07229649,0.2039216,-0.002478166,0.7554533,0.07389162,0.6019608,0.6039216,0.572549,0.6313726
-0.2844111,-0.09803921,-0.5833978,0.07219335,0.6521739,0.4509804,0.7450981,0.4117648,0.1568627
-0.350571,-0.5490196,-0.5086674,0.09604005,0.7391304,0.2254902,0.3921569,0.2509805,0.05882353
-0.1546499,-0.04313719,-0.3791259,0.061642,0.4098361,0.4784314,0.6745098,0.427451,0.282353
0.06850016,0.3568628,0.06011427,0.6353625,0.09756096,0.6784314,0.6470588,0.6588235,0.7098039
0.1058692,0.4431373,0.1570379,0.5944067,0.2112676,0.7215686,0.6627451,0.7137255,0.7803922
-0.0746104,0.2,-0.2882826,0.04030646,0.3039216,0.6,0.7215686,0.5372549,0.4784314
-0.3998899,-0.03137255,-0.6802524,0.08458157,0.7894737,0.4843137,0.8666667,0.4901962,0.1019608
-0.3267303,-0.06666666,-0.6802196,0.07126778,0.7563025,0.4666667,0.8196079,0.4156863,0.1137255
-0.2188051,0.2980392,-0.3847489,0.08229642,0.4636872,0.6490196,0.8117647,0.6470588,0.4862745
0.05164853,0.3529413,-0.1072986,0.9286,0.1272727,0.6764706,0.7176471,0.6352942,0.6705883
-0.2226421,-0.003921568,-0.6561646,0.05206251,0.6929134,0.4980392,0.8431373,0.3686275,0.1529412
-0.2407531,-0.4470588,-0.6617505,0.05553338,0.7872341,0.2764706,0.4941177,0.2039217,0.05882353
-0.1697658,-0.2352941,-0.5683084,0.04620001,0.6102564,0.3823529,0.6156863,0.2784314,0.1490196
-0.08397669,0.1882353,-0.4621437,0.02860809,0.4782609,0.5941176,0.7882353,0.4666667,0.4
0.007280706,0.517647,-0.2851051,0.9959365,0.3333333,0.7588235,0.8392157,0.6784313,0.682353
