PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.324571,-0.0745098,-0.6597193,0.07276785,0.7372882,0.4627451,205,107,30
-0.7184895,-0.01176471,-0.6954384,0.1275945,1,0.4941176,252,193,0
0.03405043,0.7254902,0.01967805,0.6666,0.05714285,0.8627451,218,218,222
-0.1645861,0.8588235,-0.1962573,0.1110667,0.5,0.9294118,246,240,228
-0.5956586,-0.07058823,-0.7034243,0.1118274,0.9240506,0.4647059,228,156,9
0.09184322,0.6078432,0.1095166,0.6110666,0.18,0.8039216,196,202,214
0.04866553,0.6745098,0.03883807,0.6428,0.08433734,0.8372549,209,210,217
-0.5408782,-0.07058823,-0.704363,0.1042238,0.8902954,0.4647059,224,145,12
-0.04352158,0.1921569,-0.09534226,0.06815451,0.1067961,0.5960785,163,150,141
-0.6228961,-0.172549,-0.7630382,0.1089612,1,0.4137255,211,138,0
0.0554797,0.7882353,0.0723418,0.604125,0.1481481,0.8941177,224,227,232
0.07448439,0.509804,0.1074772,0.5964526,0.152,0.754902,183,191,202
-0.6448351,-0.05098039,-0.6391292,0.1257073,0.9090909,0.4745098,231,176,10
-0.4875067,-0.3372549,-0.7923029,0.08778925,0.9881657,0.3313726,168,89,1
0.07687171,0.4235294,0.08831799,0.6139895,0.1292517,0.7117647,171,177,191
0.0146729,0.5254903,-0.1044454,0.9777867,0.1239669,0.7627451,202,187,189
0.01472406,0.2352941,0.002604729,0.7221333,0.01538462,0.6176471,156,155,159
-0.2342748,0.1803921,-0.3125616,0.1023687,0.3971292,0.5901961,192,160,108
-0.7187188,-0.01176471,-0.672172,0.1303242,0.984127,0.4941176,250,196,1
0.07361765,0.4235294,0.1211187,0.5869218,0.1564626,0.7117647,169,180,193
-0.406499,-0.07843137,-0.6910906,0.08462225,0.8042554,0.4607843,212,119,22
0.0480061,0.8313725,0.04325404,0.63328,0.1162791,0.9156862,230,231,236
-0.100892,0.172549,-0.3059006,0.05070436,0.3270142,0.5862745,184,136,114
-0.09657961,0.227451,-0.2856431,0.05189183,0.3096447,0.6137255,187,145,125
-0.01915571,0.2666667,0.01723772,0.36662,0.02673797,0.6333333,158,164,159
0.07840291,0.6,0.1358636,0.5833,0.1960784,0.8,194,204,214
0.08355962,0.6392157,0.1447995,0.5833,0.2173913,0.8196079,199,209,219
-0.1480213,0.07450986,-0.03506713,0.2129778,0.1525424,0.5372549,145,155,119
-0.142374,0.5686275,-0.1535348,0.119,0.2545455,0.7843137,214,206,186
-0.1210218,-0.2431372,-0.03377569,0.206684,0.1295337,0.3784314,103,109,84
-0.148793,0.4705882,-0.1561448,0.1211636,0.2444444,0.7352941,204,195,170
-0.7187188,-0.01176471,-0.672172,0.1303242,0.984127,0.4941176,250,196,1
-0.1342619,0.3882353,-0.4654317,0.04469759,0.525641,0.6941177,218,158,136
-0.3554373,-0.1960784,-0.2343093,0.1572405,0.4341463,0.4019608,147,142,58
-0.380428,-0.03137255,-0.6634772,0.08285923,0.7651822,0.4843137,218,122,28
-0.180901,-0.003921509,-0.1519015,0.1388334,0.2362205,0.4980392,157,147,97
0.06865837,0.4470589,0.09907053,0.5964526,0.1347518,0.7235295,175,183,194
-0.1146926,0.172549,-0.0719246,0.1608552,0.1374408,0.5862745,164,163,134
-0.3083825,-0.05882353,-0.6822417,0.0675656,0.75,0.4705882,210,103,30
-0.06448623,0.8862746,-0.1284622,0.07404453,0.3103448,0.9431373,245,240,236
-0.2337153,-0.4666666,-0.6623175,0.05399075,0.7941176,0.2666667,122,49,14
-0.1679679,-0.1215686,-0.4481216,0.05707594,0.4821429,0.4392157,166,95,58
-0.4982614,-0.2352941,-0.691488,0.09937546,0.8769231,0.3823529,183,114,11
0.09645373,0.6156863,0.1671436,0.5833,0.244898,0.8078431,194,206,218
-0.6570211,-0.6705883,-0.3045345,0.180922,0.9761904,0.1647059,75,82,1
-0.1023198,0.1882353,-0.2909279,0.05382462,0.3140097,0.5941176,184,139,118
0.09682809,0.6235294,0.1507432,0.5908727,0.2291667,0.8117647,196,206,218
-0.6381114,-0.1176471,-0.7609027,0.1110667,1,0.4411765,225,150,0
0.0668784,0.7333333,0.0743198,0.61662,0.1470588,0.8666667,216,219,226
0.1178917,0.5882354,0.1322145,0.6158956,0.2190476,0.7941177,191,198,214
-0.04554261,0.7843137,-0.09072485,0.07404449,0.1636364,0.8921568,232,227,222
-0.04760801,0.3294117,-0.01424686,0.2037222,0.05263158,0.6647059,172,174,164
-0.6175613,-0.06666666,-0.7295691,0.1117974,0.9579832,0.4666667,233,158,4
-0.5979173,-0.2549019,-0.7599472,0.1060979,0.9999999,0.372549,190,120,0
-0.6244947,-0.1294118,-0.7470915,0.1108119,0.9819821,0.4352941,220,147,1
-0.3225143,-0.6470588,-0.2476617,0.145775,0.5333334,0.1764706,68,63,20
-0.5991921,-0.2431372,-0.7499693,0.1072869,0.9896373,0.3784314,192,124,0
-0.6953721,-0.06274509,-0.7159055,0.1226845,1,0.4686275,239,176,0
-0.3316462,0.1058824,-0.711542,0.06941665,0.7894737,0.5529412,231,125,51
-0.07227433,-0.1333333,-0.1393267,0.07615995,0.1583711,0.4333333,128,108,93
0.08584541,0.654902,0.1487606,0.5833,0.2272727,0.827451,201,211,221
0.01761306,0.7411765,0.01017875,0.6666,0.03030303,0.8705882,221,221,223
-0.6483864,-0.1058823,-0.7423697,0.1142611,0.991228,0.4470588,227,156,1
-0.6946493,-0.04313725,-0.6950856,0.12495,0.9836066,0.4784314,242,182,1
0.1026906,0.5607843,0.1624733,0.5897077,0.2321429,0.7803922,186,198,212
0.08234619,0.5882354,-0.0199139,0.7877637,0.1047619,0.7941177,205,197,208
0.1107078,0.6941177,0.1918443,0.5833,0.3076923,0.8470588,204,216,228
0.09808882,0.6313726,0.1527059,0.5908727,0.2340426,0.8156863,197,207,219
0,0.772549,0,1,0,0.8862745,226,226,226
0.07989943,0.2862746,0.08384727,0.6211636,0.1208791,0.6431373,153,159,175
0.01395793,0.4862745,-0.259766,0.9914564,0.2977099,0.7431372,209,169,171
-0.04386136,0.862745,-0.09112091,0.07139999,0.2,0.9313725,241,236,233
-0.1970189,-0.2862745,-0.1582403,0.1423042,0.2637362,0.3568628,115,108,67
-0.06295885,0.3254902,-0.3461519,0.02863443,0.372093,0.6627451,201,148,137
0.0667223,0.3490196,-0.01171693,0.7776667,0.07228915,0.6745098,174,166,178
-0.02131158,0.7764707,-0.02541255,0.1110667,0.05263158,0.8882353,228,227,225
-0.009378294,0.682353,-0.04413956,0.03332001,0.0617284,0.8411765,217,213,212
0.09225132,0.3764706,0.1415662,0.5919172,0.1823899,0.6882353,160,174,190
-0.03417107,0.7803922,-0.08253295,0.06247498,0.1428572,0.8901961,231,226,223
-0.6799704,-0.1019608,-0.7141666,0.1210969,0.9912664,0.4490196,228,166,1
-0.1940448,-0.2784314,-0.6611348,0.04543639,0.7173913,0.3607843,158,62,26
0.1114711,0.5294118,0.1635822,0.5952,0.2333333,0.7647059,181,193,209
0.02984845,0.2117648,0.07708161,0.5588,0.08457711,0.6058824,146,157,163
0.009623132,0.1686275,0.03592907,0.54165,0.03773585,0.5843138,145,151,153
-0.09566052,0.8235295,-0.1003871,0.1211636,0.2444444,0.9117647,238,235,227
-0.6213189,-0.1411765,-0.7236965,0.112909,0.9634703,0.4294118,215,147,3
-0.7529712,0.06666672,-0.6418163,0.1376568,0.9915966,0.5333334,254,213,18
-0.004822854,0.1686275,0.01796151,0.45825,0.01886792,0.5843138,147,151,150
0.07879978,0.4745098,0.1365513,0.5833,0.1791045,0.7372549,176,188,200
-0.1054166,0.1215687,-0.384621,0.04257553,0.4017857,0.5607843,188,120,98
-0.7250936,0.03137255,-0.6761228,0.13056,0.9919028,0.5156863,254,201,9
-0.07240001,0.09411764,0.01123399,0.2745,0.07359307,0.5470588,136,148,130
-0.5848087,-0.1960784,-0.7388966,0.1065563,0.9609755,0.4019608,200,129,4
-0.7355972,-0.01176471,-0.6773171,0.1315611,1,0.4941176,252,199,0
-0.04848894,0.8862746,-0.1007346,0.07139999,0.2413793,0.9431373,244,240,237
0.04659286,0.4666667,0.1214318,0.55831,0.1470588,0.7333333,177,190,197
-0.6013674,-0.1960784,-0.7378674,0.1088341,0.9707317,0.4019608,202,132,2
0.07657386,0.5411766,0.09521145,0.6078,0.1452992,0.7705883,188,194,205
-0.1129928,0.03137255,-0.4095922,0.04284001,0.4251012,0.5156863,184,106,78
0.122677,0.6705883,0.1940951,0.5897077,0.3095238,0.8352941,200,212,226
0.04930507,0.4078431,0.1170176,0.5634667,0.1390729,0.7039216,168,181,190
-0.5686119,-0.2705882,-0.4656695,0.1407887,0.7634409,0.3647059,164,142,21
-0.07093291,0.2196078,-0.2499603,0.04400751,0.2663317,0.6098039,182,142,128
-0.241036,-0.172549,-0.1843237,0.1460954,0.3080569,0.4137255,138,130,73
-0.7498825,0.05882359,-0.6334626,0.1383627,0.9833333,0.5294118,253,212,17
-0.1008713,0.2627451,-0.07068861,0.1527167,0.1276596,0.6313726,173,171,149
0.0323061,0.427451,-0.2330693,0.978079,0.260274,0.7137255,201,163,168
-0.7299447,0.01176476,-0.6834049,0.1302389,1,0.5058824,255,199,3
-0.02312252,0.2117648,-0.007509748,0.20002,0.02487562,0.6058824,156,157,152
0.0866967,0.5450981,0.1502358,0.5833,0.2068966,0.772549,185,197,209
0.08212281,0.5058824,0.1423097,0.5833,0.1904762,0.7529412,180,192,204
-0.6060857,-0.09019607,-0.7017359,0.1133806,0.9310344,0.454902,223,155,8
-0.1415574,0.8862746,-0.0249502,0.2222333,0.3103448,0.9431373,242,245,236
0.05640081,0.3529413,-0.09179907,0.9123158,0.1151515,0.6764706,182,163,173
0.1327881,0.6862745,0.1731467,0.604125,0.3,0.8431373,203,212,227
-0.3989784,-0.3372549,-0.650558,0.08755619,0.8106509,0.3313726,153,87,16
-0.1772049,0.2,-0.4772746,0.05658113,0.5196078,0.6,206,136,100
0.02327739,0.8431373,0.01345221,0.6666,0.05,0.9215686,234,234,236
0.05517828,0.4196079,0.09561783,0.5833,0.1216216,0.7098039,172,181,190
0.111423,0.7019608,0.1734648,0.5908727,0.2894737,0.8509804,206,216,228
-0.3443826,-0.6078432,-0.2278049,0.1569885,0.52,0.1960784,75,72,24
-0.6366223,-0.1215686,-0.7615334,0.1108188,1,0.4392157,224,149,0
-0.0628949,0.3803922,-0.08452768,0.1018111,0.1139241,0.6901961,185,178,167
-0.02514118,0.1019609,0.02994088,0.3888334,0.03930131,0.5509804,136,145,139
-0.6153187,-0.09803921,-0.7149283,0.1131046,0.9478261,0.4509804,224,154,6
-0.3592546,-0.1647059,-0.695259,0.07590647,0.7934272,0.4176471,191,98,22
-0.1456015,-0.007843137,-0.2398956,0.08681975,0.2806324,0.4960784,162,128,91
-2.002004E-05,0.2941177,0.03185897,0.4999,0.03333334,0.6470588,162,168,168
0.07597455,0.3764706,0.1377565,0.5802148,0.1698113,0.6882353,161,176,189
-0.7100036,-0.003921568,-0.6929602,0.1269333,0.992126,0.4980392,253,193,0
-0.7440673,0.1098039,-0.6457361,0.1362418,0.9911894,0.554902,254,213,28
0.06059501,0.5254903,0.06843761,0.6153384,0.107438,0.7627451,188,192,201
-0.532077,-0.6470588,-0.4197673,0.1436925,0.8888889,0.1764706,84,74,4
-0.08504207,-0.09803921,-0.05959578,0.1527167,0.1043478,0.4509804,127,125,103
-0.3949032,0.0862745,-0.7246162,0.0794156,0.8283262,0.5431373,235,134,41
