PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.008049887,-0.06274509,-0.00959892,0.1110667,0.0125523,0.4686275,121,120,118
0.01062035,0.4196079,-0.006137595,0.8334,0.01351351,0.7098039,182,180,182
0.009194668,-0.2941176,0.005313681,0.6666,0.01111111,0.3529412,89,89,91
0.007859204,0.1450981,0.004541904,0.6666,0.009174312,0.572549,145,145,147
0.02218374,-0.3333333,1.394077E-05,0.7499,0.02352941,0.3333333,85,83,87
0.02579696,-0.3137255,0.008396278,0.69992,0.02857143,0.3431373,86,85,90
0.009688884,-0.3411765,0.005599292,0.6666,0.01190476,0.3294118,83,83,85
0.02986965,-0.4392157,0.009721839,0.69992,0.03496503,0.2803922,70,69,74
0.009038893,-0.2784314,0.005223657,0.6666,0.01086956,0.3607843,91,91,93
0.008524326,-0.2235294,0.004926284,0.6666,0.01010101,0.3882353,98,98,100
0.008051106,-0.1686274,0.004652806,0.6666,0.009433961,0.4156863,105,105,107
0,0.137255,0,1,0,0.5686275,145,145,145
-0.008985625,-0.6588235,-0.04229144,0.03332001,0.05747126,0.1705883,46,42,41
0.007492564,0.09803927,0.004330019,0.6666,0.008695652,0.5490196,139,139,141
0.0147974,0.01568627,0.01333265,0.6332798,0.01992035,0.5078431,126,128,132
0.01613643,-0.1019608,0.01453911,0.63328,0.02183406,0.4490196,112,113,117
0.00798646,0.1607844,0.004615447,0.6666,0.009345794,0.5803922,147,147,149
0.008595124,-0.2313725,0.004967199,0.6666,0.01020408,0.3843137,97,97,99
0,-0.1529412,0,1,0,0.4235294,108,108,108
0,-0.3764706,0,1,0,0.3117647,79,79,79
